diag_nat_code,chapter_range,chapter_name,group_range,group_name,sub_group_range,sub_group_name
N185,N00-N99,Diseases of the genitourinary system,N17-N19,Renal failure,N17-N19,Renal failure
D638,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D60-D64,Aplastic and other anaemias,D60-D64,Aplastic and other anaemias
Q642,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q60-Q64,Congenital malformations of the urinary system,Q60-Q64,Congenital malformations of the urinary system
Z491,Z00-Z99,Factors influencing health status and contact with health services,Z40-Z54,Persons encountering health services for specific procedures and health care,Z40-Z54,Persons encountering health services for specific procedures and health care
Z958,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z884,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
N049,N00-N99,Diseases of the genitourinary system,N00-N08,Glomerular diseases,N00-N08,Glomerular diseases
N183,N00-N99,Diseases of the genitourinary system,N17-N19,Renal failure,N17-N19,Renal failure
N189,N00-N99,Diseases of the genitourinary system,N17-N19,Renal failure,N17-N19,Renal failure
Z940,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z931,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Q647,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q60-Q64,Congenital malformations of the urinary system,Q60-Q64,Congenital malformations of the urinary system
R572,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50-R69,General symptoms and signs,R50-R69,General symptoms and signs
Z876,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
P292,P00-P96,Certain conditions originating in the perinatal period,P20-P29,Respiratory and cardiovascular disorders specific to the perinatal period,P20-P29,Respiratory and cardiovascular disorders specific to the perinatal period
E618,E00-E90,"Endocrine, nutritional and metabolic diseases",E50-E64,Other nutritional deficiencies,E50-E64,Other nutritional deficiencies
E109,E00-E90,"Endocrine, nutritional and metabolic diseases",E10-E14,Diabetes mellitus,E10-E14,Diabetes mellitus
N271,N00-N99,Diseases of the genitourinary system,N25-N29,Other disorders of kidney and ureter,N25-N29,Other disorders of kidney and ureter
L910,L00-L99,Diseases of the skin and subcutaneous tissue,L80-L99,Other disorders of the skin and subcutaneous tissue,L80-L99,Other disorders of the skin and subcutaneous tissue
Z886,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Q614,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q60-Q64,Congenital malformations of the urinary system,Q60-Q64,Congenital malformations of the urinary system
K909,K00-K93,Diseases of the digestive system,K90-K93,Other diseases of the digestive system,K90-K93,Other diseases of the digestive system
Z922,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
H549,H00-H59,Diseases of the eye and adnexa,H53-H54,Visual disturbances and blindness,H53-H54,Visual disturbances and blindness
F819,F00-F99,Mental and behavioural disorders,F80-F89,Disorders of psychological development,F80-F89,Disorders of psychological development
Z918,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
I517,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,I30-I52,Other forms of heart disease
Z905,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
H530,H00-H59,Diseases of the eye and adnexa,H53-H54,Visual disturbances and blindness,H53-H54,Visual disturbances and blindness
L033,L00-L99,Diseases of the skin and subcutaneous tissue,L00-L08,Infections of the skin and subcutaneous tissue,L00-L08,Infections of the skin and subcutaneous tissue
F89,F00-F99,Mental and behavioural disorders,F80-F89,Disorders of psychological development,F80-F89,Disorders of psychological development
Z888,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
T825,S00-T98,"Injury, poisoning and certain other consequences of external causes",T80-T88,"Complications of surgical and medical care, not elsewhere classified",T80-T88,"Complications of surgical and medical care, not elsewhere classified"
U073,U00-U85,Codes for special purposes,U00-U49,Provisional assignment of new diseases of uncertain etiology or emergency use,U00-U49,Provisional assignment of new diseases of uncertain etiology or emergency use
E748,E00-E90,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E70-E90,Metabolic disorders
Z501,Z00-Z99,Factors influencing health status and contact with health services,Z40-Z54,Persons encountering health services for specific procedures and health care,Z40-Z54,Persons encountering health services for specific procedures and health care
D175,C00-D48,Neoplasms,D10-D36,Benign neoplasms,D10-D36,Benign neoplasms
N391,N00-N99,Diseases of the genitourinary system,N30-N39,Other diseases of urinary system,N30-N39,Other diseases of urinary system
Z926,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
M089,M00-M99,Diseases of the musculoskeletal system and connective tissue,M00-M25,Arthropathies,M05-M14,Inflammatory polyarthropathies
Q766,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q65-Q79,Congenital malformations and deformations of the musculoskeletal system,Q65-Q79,Congenital malformations and deformations of the musculoskeletal system
I159,I00-I99,Diseases of the circulatory system,I10-I15,Hypertensive diseases,I10-I15,Hypertensive diseases
Z006,Z00-Z99,Factors influencing health status and contact with health services,Z00-Z13,Persons encountering health services for examination and investigation,Z00-Z13,Persons encountering health services for examination and investigation
I801,I00-I99,Diseases of the circulatory system,I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
R35,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R30-R39,Symptoms and signs involving the urinary system,R30-R39,Symptoms and signs involving the urinary system
M2176,M00-M99,Diseases of the musculoskeletal system and connective tissue,M00-M25,Arthropathies,M20-M25,Other joint disorders
Z872,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
R048,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R09,Symptoms and signs involving the circulatory and respiratory systems,R00-R09,Symptoms and signs involving the circulatory and respiratory systems
R030,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R09,Symptoms and signs involving the circulatory and respiratory systems,R00-R09,Symptoms and signs involving the circulatory and respiratory systems
I082,I00-I99,Diseases of the circulatory system,I05-I09,Chronic rheumatic heart diseases,I05-I09,Chronic rheumatic heart diseases
J189,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,J09-J18,Influenza and pneumonia
Z818,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
B008,A00-B99,Certain infectious and parasitic diseases,B00-B09,Viral infections characterized by skin and mucous membrane lesions,B00-B09,Viral infections characterized by skin and mucous membrane lesions
E780,E00-E90,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E70-E90,Metabolic disorders
R011,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R09,Symptoms and signs involving the circulatory and respiratory systems,R00-R09,Symptoms and signs involving the circulatory and respiratory systems
Z861,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
I151,I00-I99,Diseases of the circulatory system,I10-I15,Hypertensive diseases,I10-I15,Hypertensive diseases
Z834,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
