rdv_code, rdv_type, label, description
pde, patient_demographics, demographics," ""patient demographics"""
dia_conditions, patient_diagnoses, diagnoses - medical conditions," ""coded patient diagnoses - medical conditions"""
dia_other, patient_diagnoses, diagnoses - other factors," ""coded patient diagnoses - other factors"""
pro_opcs, patient_procedures, procedures - OPCS," ""codedpatient procedures - OPCS"""
pro_lab, patient_procedures, procedures - Labs," ""codedpatient procedures - Labs"""
pro_img, patient_procedures, procedures - Imaging," ""codedpatient procedures - Imaging"""
pro_other, patient_procedures, procedures - Other," ""codedpatient procedures - Other"""
had, patient_hospital_admissions, hospital admissions," ""patient admission information"""
wst, patient_ward_stays, ward stays," ""ward stay information"""
lab, patient_selected_lab_components_main, lab results," ""patient lab results"""
med_admins, patient_medication_admins, medication admins," ""patient medication admins"""
flw_main, patient_selected_flowsheetrows_main, flowsheet values," ""patient main flowsheet values"""
tli, patient_theatre_list, theatre lists," ""surgical theatre lists"""
lab_components, patient_lab_components, lab components," ""patient lab components"""
nlp, patient_nlp_triage, nlp triage," ""patient NLP triage data"""
ckd, patient_ckd_data, ckd data," ""patient chronic kidney disease stages"""
pro_responses, patient_procedure_responses, procedure responses," ""patient procedure responses"""
